122	0.003261	0.015589	0.016104
3009	0.064504	0.335631	0.355309
3009	0.060971	0.324985	0.34466
122	0.003619	0.023325	0.024463
122	0.010103	0.062326	0.063539
122	0.003686	0.015408	0.016118
122	0.002313	0.01129	0.011898
122	0.02319	0.047373	0.048595
3009	0.075563	0.352761	0.367084
122	0.003884	0.020899	0.022597
122	0.004812	0.022056	0.022645
122	0.002296	0.015782	0.01625
122	0.004044	0.015033	0.015472
122	0.002315	0.013358	0.013956
122	0.002397	0.007952	0.008396
122	0.003847	0.014561	0.015377
122	0.012494	0.024591	0.025227
122	0.002404	0.011004	0.011548
