908	0.013332	0.068117	0.081926
909	0.023837	0.080549	0.101463
909	0.032907	0.080076	0.090567
909	0.037093	0.106941	0.124625
909	0.02496	0.129913	0.145431
909	0.017593	0.052785	0.060944
909	0.017822	0.093779	0.134551
909	0.013943	0.050391	0.058171
909	0.017552	0.075487	0.084466
908	0.011021	0.088241	0.130052
908	0.016211	0.057605	0.064963
909	0.028362	0.100575	0.123625
909	0.025549	0.084912	0.095511
909	0.034503	0.080897	0.093136
909	0.028464	0.110218	0.131005
909	0.049306	0.123816	0.141409
909	0.04823	0.115342	0.127933
909	0.034075	0.122246	0.157476
909	0.021703	0.066893	0.077913
1815	0.104164	0.354425	0.41168
1329	0.023747	0.212038	0.228226
1329	0.02781	0.115846	0.124624
1329	0.102906	0.309443	0.324608
1989	0.042745	0.170852	0.181633
1989	0.046471	0.240583	0.26117
1989	0.052278	0.273216	0.297334
905	0.018135	0.034999	0.037393
427	0.009807	0.074589	0.079297
908	0.032178	0.222988	0.245689
908	0.024343	0.120437	0.133277
